deaths,volcano_name,country,year
1584,Agung,Indonesia,1963
87,Arenal,Costa Rica,1968
1151,Asamayama,Japan,1783
326,Banda Api,Indonesia,1861
477,Bandaisan,Japan,1888
500,Camiguin,Philippines,1948
1900,"Chichon, El",Mexico,1982
1000,Cotopaxi,Ecuador,1877
106,Dubbi,Eritrea,1861
56,Etna,Italy,1843
9,Etna,Italy,1979
9,Galeras,Colombia,1993
18,Galunggung,Indonesia,1982
4011,Galunggung,Indonesia,1822
10000,Grimsvotn,Iceland,1783
1500,Huaynaputina,Peru,1600
5,"Hudson, Cerro",Chile,1971
10000,Kelut,Indonesia,1586
5000,Kelut,Indonesia,1919
400,Kilauea,Hawai'i,1790
31,Myojinsho,Japan,1952
426,Krakatau,Indonesia,2018
36000,Krakatau,Indonesia,1883
1369,Marapi,Indonesia,1930
353,Marapi,Indonesia,2011
245,Nyiragongo,Democratic Republic of the Congo,2002
70,Nyiragongo,Democratic Republic of the Congo,1977
63,Ontakesan,Japan,2014
2033,Oshima-Oshima,Japan,1741
3,Pacaya,Guatemala,2013
2957,Papandayan,Indonesia,1772
30000,Pelee,Martinique,1902
847,Pinatubo,Philippines,1991
1,Raoul Island,New Zealand,2006
416,Raung,Indonesia,1864
15000,Rinjani,Indonesia,1257
151,Ruapehu,New Zealand,1952
23000,"Ruiz, Nevado del",Colombia,1985
1000,"Ruiz, Nevado del",Colombia,1845
600,"Ruiz, Nevado del",Colombia,1595
6000,Santa Maria,Guatemala,1902
70,Santorini,Greece,1650
20000,Santorini,Greece,-1610
16,Sinabung,Indonesia,2013
19,Soufriere Hills,Montserrat,1995
1680,Soufriere St. Vincent,St. Vincent,1902
57,St. Helens,United States,1980
4,Stromboli,Italy,1932
1300,Taal,Philippines,1911
4,"Tair, Jebel at",Yemen,2007
100000,Tambora,Indonesia,1812
2806,Tangkoko-Duasudara,Indonesia,1843
1532,Tangkoko-Duasudara,Indonesia,1880
2,Tengger Caldera,Indonesia,2004
144,Tokachidake,Japan,1925
150,Izu-Torishima,Japan,1902
3000,Rabaul,Papua New Guinea,1878
15000,Unzendake,Japan,1792
43,Unzendake,Japan,1990
1,Vestmannaeyjar,Iceland,1973
13000,Vesuvius,Italy,79
3360,Vesuvius,Italy,1631
216,Vesuvius,Italy,1913
22,Whakaari/White Island,New Zealand,2019
10,Whakaari/White Island,New Zealand,1914
